Neo Soft
Hitachi
Esri France
Neo4j
Invivoo
Apgar Consulting
Expert System
Prevision.io
Black Tiger
Xplik
Timelight
Segment
After Data
Ab Initio
Data Pink
Snowflake
Tilkee
Mydral
FRCyber
Microstrategy
Streamsets
ataccama
Uniserv
Expertime
Ovh Cloud
Suadeo
Finaxys
BGFI
Denodo
EDB
DataScientest.com
Publicis sapient
Datafab
Synaltic
Epsilon
Sinequa
Dataflooder
Infinite lambda
instaclustr
Datapy
Keyrus
Myrtea metrics
Big Apps
MongoDB
Ekimetrics
Isoft
Tenaven
Geotrend
Collibra
ForePaas
Indexima
Semarchy
Reeport
Informatica
Senx
EISTI
Fivetran
Cegedim
Unravel
Kaisens Data
Iri
La javaness
dats'up
ods
Looker
truata
MGS Solutions
Micropole
Dawizz
ReciTAL
Thales
Avanade
Qwam
Smile
devoteam
Ysance
Utt Troyes
Confluent
Powerslide
Skapane

Quintern
Francelabs datafari
Digdash
Data Robot
Jemps Group
Craft ai
Ryax Technologies
Lansrod
Dell
Data Galaxy
Koumoul
Stratalis
BigID
Saagie
Eccenca
Bakamap
Trifacta
Solace
Axys consultants
Synergie Edition
Atos
DataValue
JetPack Data
Probayes
Artik Consulting
Zeenea
In Data
The information Lab
Stibo Systems
Ividata
TigerGraph
Tableau
Appex
MariaDB
Talend
Timi.eu
Nodya Group
Information Builders
Ebiz next by Umanis
Mc2i
Oracle
Qualitadd
OppScience
Claranet
Couchbase
Microsoft
Knowage
H2O.ai
Statice
Orange
Wandisco
Perfect Memory
Meritis
DatavLab
Dcide Om
Infor
Nuage.studio
MathWorks
Provalis Research

Estia
Vertica
Proxem
Askr.ai
Elitech
ESCP
Smart Team
HPE
GigaSpaces
Cloudera
IBM
Vekia
DSTI Data Science Institute
Teradata
Sas
Soyooz
Aiven
Qlik
Business & Decision
Activeeon

Signavio
Olystic
Alteryx
SAP
Telecom Paris
DataMa
Meteomatics
CGI

Anasen
Bluescale

Toucan Toco
Privitar
Activus Group
Societe Info
Asg
Tibco
D2IQ
Polaris
Veltys
Ucase Consulting
Umanis
Lincoln
AxionaBLE
pwc
Central Supélec
IlipSys
Thought Spot
